domain,sector
repubblica.it,news
corriere.it,news
lastampa.it,news
ilmessaggero.it,news
ilmattino.it,news
ilgiornale.it,news
ilfattoquotidiano.it,news
fanpage.it,news
ansa.it,news
adnkronos.com,news
agi.it,news
askanews.it,news
ilpost.it,news
huffingtonpost.it,news
open.online,news
linkiesta.it,news
ilfoglio.it,news
avvenire.it,news
liberoquotidiano.it,news
iltempo.it,news
ilsecoloxix.it,news
ilgazzettino.it,news
leggo.it,news
lanazione.it,news
ilrestodelcarlino.it,news
ilgiorno.it,news
quotidiano.net,news
gazzettadelsud.it,news
lasicilia.it,news
giornaledisicilia.it,news
unionesarda.it,news
lanuovasardegna.it,news
iltirreno.it,news
gazzettadiparma.it,news
ecodibergamo.it,news
giornaledibrescia.it,news
messaggeroveneto.it,news
varesenews.it,news
bergamonews.it,news
dire.it,news
tpi.it,news
rainews.it,news
tgcom24.mediaset.it,news
la7.it,news
editorialedomani.it,news
internazionale.it,news
valigiablu.it,news
ilmanifesto.it,news
ilriformista.it,news
italiaoggi.it,news
milanofinanza.it,news
ilsole24ore.com,news
teleborsa.it,news
affaritaliani.it,news
dagospia.com,news
gazzetta.it,news
corrieredellosport.it,news
tuttosport.com,news
calciomercato.com,news
tuttomercatoweb.com,news
diretta.it,news
transfermarkt.it,news
eurosport.it,news
giroditalia.it,news
wired.it,news
hdblog.it,news
tomshw.it,news
dday.it,news
ilsoftware.it,news
hwupgrade.it,news
punto-informatico.it,news
amazon.it,ecommerce
ebay.it,ecommerce
zalando.it,ecommerce
vinted.it,ecommerce
subito.it,ecommerce
bakeca.it,ecommerce
trovaprezzi.it,ecommerce
idealo.it,ecommerce
eprice.it,ecommerce
unieuro.it,ecommerce
mediaworld.it,ecommerce
euronics.it,ecommerce
trony.it,ecommerce
yeppon.it,ecommerce
ibs.it,ecommerce
lafeltrinelli.it,ecommerce
mondadoristore.it,ecommerce
hoepli.it,ecommerce
libraccio.it,ecommerce
abebooks.it,ecommerce
decathlon.it,ecommerce
leroymerlin.it,ecommerce
tecnomat.it,ecommerce
obi-italia.it,ecommerce
bricofer.it,ecommerce
manomano.it,ecommerce
lidl.it,ecommerce
esselunga.it,ecommerce
carrefour.it,ecommerce
conad.it,ecommerce
eataly.it,ecommerce
cortilia.it,ecommerce
tannico.it,ecommerce
vino.com,ecommerce
callmewine.com,ecommerce
bottegaverde.it,ecommerce
douglas.it,ecommerce
sephora.it,ecommerce
notino.it,ecommerce
pinalli.it,ecommerce
kikocosmetics.com,ecommerce
farmae.it,ecommerce
luisaviaroma.com,ecommerce
yoox.com,ecommerce
ovs.it,ecommerce
upim.com,ecommerce
rinascente.it,ecommerce
terranovastyle.com,ecommerce
piazzaitalia.it,ecommerce
benetton.com,ecommerce
calzedonia.com,ecommerce
intimissimi.com,ecommerce
tezenis.com,ecommerce
arcaplanet.it,ecommerce
maxizoo.it,ecommerce
zooplus.it,ecommerce
westwing.it,ecommerce
autoscout24.it,ecommerce
automobile.it,ecommerce
moto.it,ecommerce
governo.it,pa
quirinale.it,pa
senato.it,pa
camera.it,pa
gazzettaufficiale.it,pa
normattiva.it,pa
esteri.it,pa
interno.gov.it,pa
giustizia.it,pa
difesa.it,pa
mef.gov.it,pa
mimit.gov.it,pa
mur.gov.it,pa
istruzione.it,pa
salute.gov.it,pa
lavoro.gov.it,pa
mase.gov.it,pa
cultura.gov.it,pa
mit.gov.it,pa
masaf.gov.it,pa
poliziadistato.it,pa
carabinieri.it,pa
gdf.gov.it,pa
vigilfuoco.it,pa
inps.it,pa
inail.it,pa
agenziaentrate.gov.it,pa
adm.gov.it,pa
istat.it,pa
bancaditalia.it,pa
consob.it,pa
ivass.it,pa
agcom.it,pa
arera.it,pa
garanteprivacy.it,pa
agid.gov.it,pa
aifa.gov.it,pa
iss.it,pa
cnr.it,pa
aci.it,pa
pagopa.gov.it,pa
ilportaledellautomobilista.it,pa
gse.it,pa
regione.lombardia.it,pa
regione.lazio.it,pa
regione.veneto.it,pa
regione.piemonte.it,pa
regione.puglia.it,pa
regione.emilia-romagna.it,pa
regione.toscana.it,pa
regione.campania.it,pa
regione.liguria.it,pa
regione.marche.it,pa
regione.abruzzo.it,pa
regione.calabria.it,pa
regione.sardegna.it,pa
regione.sicilia.it,pa
regione.fvg.it,pa
regione.umbria.it,pa
regione.basilicata.it,pa
regione.molise.it,pa
regione.vda.it,pa
provincia.tn.it,pa
provincia.bz.it,pa
comune.roma.it,pa
comune.milano.it,pa
comune.napoli.it,pa
comune.torino.it,pa
comune.palermo.it,pa
comune.genova.it,pa
comune.bologna.it,pa
comune.firenze.it,pa
comune.bari.it,pa
comune.catania.it,pa
comune.venezia.it,pa
comune.verona.it,pa
comune.messina.it,pa
comune.padova.it,pa
comune.trieste.it,pa
comune.brescia.it,pa
comune.parma.it,pa
comune.prato.it,pa
comune.modena.it,pa
